nombre,genero,foto,instagram,facebook,tiktok,youtube,spotify,bandcamp
Abysser,Death/HC/Black,abysser.jpg,https://www.instagram.com/abysser_official/,,,https://youtube.com/@abysser-official,https://open.spotify.com/intl-es/artist/5luAikD1LMKevtaBpa8kBz,https://abysser.bandcamp.com/
After Us,Metalcore,after-us.jpg,https://www.instagram.com/afterus.band/,,,https://www.youtube.com/@afterusband,https://open.spotify.com/intl-es/artist/1ReiXZ8g23KXNFdnX7Ao0R,
Alarm! Alarm!,Punk Rock,alarm-alarm.jpg,https://www.instagram.com/alarmalarmmalaga/profilecard/,https://www.facebook.com/punkalarmalarm/,,https://www.youtube.com/@alarmalarm8757,https://open.spotify.com/intl-es/artist/6Q3jUbGq2b2MeN2lMBYDxz,https://alarmalarm.bandcamp.com/
Civilizencia Violada,Punk,civilizencia.jpg,https://www.instagram.com/civilizencia_violada.punk/,,,https://www.youtube.com/channel/UCh6yksu32OawZjUpKMr993g,https://open.spotify.com/intl-es/artist/3lBa9F9MJ9foYgAx0ekopM,
Codetalker,Nu Metalcore,codetalker.jpg,https://www.instagram.com/codetalkersound/,,https://www.tiktok.com/@codetalkersound,https://youtube.com/@codetalker,https://open.spotify.com/artist/1S45MHLYBkZR6cZDwj8kGU,https://codetalkersound.bandcamp.com
Death at Dawn,Death Metal,death-at-dawn.jpg,https://www.instagram.com/deathatdawnband/,https://www.facebook.com/Deathatdawnband666/,,https://www.youtube.com/channel/UCgBoHPSJfKqtTpynzhsn0bQ,,https://deathatdawnband.bandcamp.com/
Discomfort Zone,Hardcore Melódico,discomfort-zone.jpg,https://www.instagram.com/discomfortzoneband,https://m.facebook.com/DiscomfortZoneBand/,,https://youtube.com/@discomfortzoneband,https://open.spotify.com/artist/2kd62LzoIfNDDxEJR9zrg8,https://discomfortzoneband.bandcamp.com/album/moneytheism
Emuna,,emuna.jpg,,,,,,
Eternal Dream,Power Metal,eternal-dream-v2.jpg,https://www.instagram.com/eternaldreamofficial/,https://www.facebook.com/EternalDreamOfficial/,,https://www.youtube.com/user/eternaldreamofficial,,
Evildog,Rock Alternativo,evildog.jpg,https://www.instagram.com/evildog_band,https://www.facebook.com/share/Jsz336jm6u9RXbvY/,,https://youtube.com/@evildog,https://open.spotify.com/artist/5uuSe5eklSAyI4cjTZWqMU,https://evildog.bandcamp.com/album/criando-cuervos
Eyes of Paradise,Metalcore,eyes-of-paradise.jpg,https://www.instagram.com/eyesofparadise.official/,https://www.facebook.com/eyesofparadise.official,https://www.tiktok.com/@eyesofparadise.official,https://www.youtube.com/@eyesofparadise.official,https://open.spotify.com/artist/1BtInfLNraGaMQJG04szWq,
Hall Of Blame,Metalcore,hall-of-blame.jpg,https://www.instagram.com/hallofblameband/,,,,,
Innocent Bystanders United,Stoner / alt rock,,,https://www.facebook.com/Innocentbystandersutd/,,,,https://innocentbystandersutd.bandcamp.com/
Karbon Zero,Metal Alternativo,karbon-zero.jpg,https://instagram.com/karbonzer0,https://www.facebook.com/KarbonZer0,https://www.tiktok.com/@karbonzer0,https://www.youtube.com/@Karbon_Zero,,
Krypticy,Death Metal,krypticy.jpg,https://www.instagram.com/Krypticy/,https://www.facebook.com/Krypticy/,,,https://open.spotify.com/artist/0SvItyGNaXZhpVDppbdrW3,https://krypticy.bandcamp.com/
Magma Banana,Metal Potasico,magma-banana.jpg,https://www.instagram.com/magmabananaband/,,,,https://open.spotify.com/artist/38RtESzMoVPkpoNJJAtHsm,
Mainbrain,Death Metal,mainbrain.jpg,https://www.instagram.com/mainbrainband/,https://www.facebook.com/mainbrainband/,,https://www.youtube.com/@MainBraindeathmetal,https://open.spotify.com/intl-es/artist/5IxgEUHr5hAjqMlbG8SfL8,
Not Your Business,Hardcore/beatdown,not-your-business.jpg,https://www.instagram.com/notyourbusiness.hxc/,,,,,
Of The Abyss,Metalcore,,https://www.instagram.com/oftheabyss.official/,,https://www.tiktok.com/@oftheabyss.official,https://www.youtube.com/@OfTheAbyssBand,https://open.spotify.com/intl-es/artist/6FkuAlI6x5wFs8oJzLI9Tc,
Oggün,Nu-metal,,https://www.instagram.com/oggun.band/,,https://www.tiktok.com/@oggun.band,,,
Pachydermo Scato,Goregrind Party,,https://www.instagram.com/pachydermo_scato/,https://www.facebook.com/pachydermoscato/,https://www.tiktok.com/@pachydermo.scato,https://www.youtube.com/channel/UCGatLqBUg77WqRMNnL21gJA/videos,https://open.spotify.com/intl-es/artist/74Zk2XyvF6XkwRVBjoeSFT,https://pachydermoscato.bandcamp.com/
Psyksoul,,,,https://www.facebook.com/Psyksoul/,,,,https://psyksoulband.bandcamp.com/
Quiet All,Rock alternativo,,https://www.instagram.com/quiet_all_band_/,,https://www.tiktok.com/@Quiet_all_band,,,https://quietall0.bandcamp.com/album/thinkabout-ep
Rebel Souls,Death Metal,,https://www.instagram.com/rebelsoulsdm/,https://www.facebook.com/rebelsouls.deathmetal/,,https://www.youtube.com/@rebelsoulsdm,https://open.spotify.com/intl-de/artist/5m7V4FOc7PiAQRS6u9XLfZ,https://rebelsouls.bandcamp.com/
Red Eye,Stoner/Doom,,https://www.instagram.com/redeyeofdoom,https://www.facebook.com/redeyeofdoom,,https://youtube.com/redeyeofdoom,https://open.spotify.com/artist/2OkCfdUhlH9X8PlhhNq006,https://redeyeofdoom.bandcamp.com
Resilience,Death Metal,,https://www.instagram.com/resilience.band/,https://www.facebook.com/profile.php?id=61550267544355,https://www.tiktok.com/@resilience.band,https://www.youtube.com/@resilienceband,https://open.spotify.com/artist/1zDwBF30ifZS8aSc6nj9QM,https://resilienceband.bandcamp.com
Sacristía,Death Metal,,,,,,,https://sacristia.bandcamp.com/
SELFMADE,Hardcore,selfmade.jpg,https://www.instagram.com/selfmadehc/,https://www.facebook.com/p/Selfmadehc-61555731751956/,,,https://open.spotify.com/artist/13d2CLwSGAu7ePhTHmgPO6,
Swordlaek,Thrash/Groove,,https://www.instagram.com/swordlaek/,,,https://youtu.be/DP4XMiEbuAE,https://open.spotify.com/intl-es/artist/25in7AZCsln7eaz38Sp0HD,
The Last Humans Dance,Metal Poliédrico,,https://www.instagram.com/last_humans_dance/,https://www.facebook.com/share/6u23YL99Y1Dny1dr/,,https://m.youtube.com/watch?v=DgZkO4EA6Sw,https://open.spotify.com/intl-es/artist/7nFHgyIAlyA7Kbn4dKTFrJ,https://thelasthumansdance.bandcamp.com/track/the-chosen-ones
The Sky Creepers,Stoner / Doom,,https://www.instagram.com/theskycreepers/,https://www.facebook.com/theskycreepers,,https://www.youtube.com/channel/UC4kiKWWDBcSAlD3Dd3vq_ew,https://open.spotify.com/intl-es/artist/0If6FXNl5EFGXBDz0AVYeC,https://theskycreepers.bandcamp.com/
THE TRAGIC COMPANY,Metal Alternativo/prog,,https://www.instagram.com/thetragiccompany/,,https://www.tiktok.com/@the_tragic_company,https://www.youtube.com/channel/UCSJckanVme7ZjiwIiY9TwKQ,https://open.spotify.com/intl-es/artist/00cKUUslOHqgXbTNZlOoP0,https://thetragiccompany.bandcamp.com/
Times of War,Hardcore,,https://www.instagram.com/timesofwar_official/,,,,,https://timesofwarofficial.bandcamp.com/album/with-the-force-of-war
Under Taiga,Prog rock/metal,,https://www.instagram.com/under.taiga,https://www.facebook.com/under.taiga,https://www.tiktok.com/@undertaiga,https://youtube.com/@undertaiga9300,https://open.spotify.com/artist/4sLj5YhmwLlW2yHFElUof5,https://undertaiga.bandcamp.com/
Verdugo,Groove Metal,,https://www.instagram.com/verdugohcm/,https://www.facebook.com/verdugohcm,https://www.tiktok.com/@verdugohcm,https://www.youtube.com/@VerdugoHCM,https://open.spotify.com/artist/2aUTDw2NEnJDoadrB8bKgp,https://verdugo.bandcamp.com/
War Knife,Groove Metal,,https://www.instagram.com/warknife.band/,,,,,
